1.520	733.753	1171.975	1146.789	1221.096	1374.046	1131.454
1.540	805.496	831.601	1198.709	1036.025	1245.962	1024.733
1.560	723.712	1013.234	1221.785	970.464	1054.591	998.371
1.580	570.668	573.225	793.944	846.979	1033.973	764.640
1.600	550.490	567.897	834.864	715.381	869.129	708.430
1.620	647.948	764.045	598.176	547.445	717.703	655.431
1.640	555.324	617.118	656.484	600.683	617.698	609.872
1.660	335.570	624.850	456.731	404.065	578.383	481.120
1.680	393.959	530.335	666.385	560.164	445.057	519.897
1.700	360.132	424.008	441.688	555.875	471.876	450.930
1.720	305.011	303.746	311.842	447.389	296.786	332.719
1.740	313.192	355.187	310.536	460.065	252.957	338.171
1.760	237.016	236.295	303.132	282.000	353.621	282.609
1.780	305.014	264.258	252.510	301.035	254.201	275.149
1.800	219.879	245.700	278.399	261.664	270.718	255.438
1.820	197.628	152.088	270.045	195.489	213.315	205.782
1.840	207.803	208.507	124.740	168.563	184.100	178.631
1.860	180.361	210.362	155.703	147.234	142.180	167.245
1.880	147.270	150.035	121.866	171.062	152.051	148.347
1.900	158.128	135.385	107.527	148.031	131.414	135.927
1.920	104.314	137.400	120.912	103.845	134.116	120.220
1.940	95.718	105.729	115.140	163.030	100.251	115.943
1.960	66.342	120.638	79.467	105.541	89.952	92.471
1.980	72.777	84.502	106.952	103.881	74.161	88.533
2.000	66.984	60.200	52.928	82.269	87.382	69.843
2.020	65.564	51.813	68.285	58.960	65.147	61.941
2.040	47.820	50.768	50.464	41.917	46.070	47.434
2.060	30.445	55.666	51.724	39.018	44.170	44.299
2.080	38.058	37.166	36.880	38.911	41.166	38.426
2.100	24.091	40.758	36.441	28.929	31.033	32.314
2.120	25.673	29.676	41.353	33.784	32.827	32.710
2.140	23.839	30.123	26.471	34.789	23.495	27.756
2.160	25.548	28.119	28.610	18.637	25.140	25.228
2.180	19.344	17.314	33.492	25.746	26.553	24.534
2.200	16.943	24.381	16.306	28.100	24.561	22.063
2.220	21.143	21.247	16.924	33.721	21.370	22.869
2.240	21.011	21.103	20.174	19.810	15.895	19.596
2.260	18.468	19.234	17.701	21.816	16.098	18.664
2.280	21.897	14.397	15.424	20.648	9.433	16.333
2.300	17.099	19.080	15.162	17.828	15.451	16.919
2.320	22.461	21.843	10.757	21.183	10.353	17.278
2.340	19.062	16.737	13.537	20.857	18.007	17.621
2.360	19.471	15.972	20.377	20.627	24.954	20.281
2.380	17.490	16.998	22.493	12.253	17.079	17.274
2.400	19.744	21.523	21.738	17.357	17.533	19.585
2.420	19.641	16.199	18.205	12.649	19.189	17.159
2.440	13.034	22.462	20.378	15.442	20.841	18.461
2.460	16.519	17.206	19.727	22.197	16.723	18.497
2.480	17.645	13.724	16.853	18.145	18.975	17.064
2.500	16.438	19.978	17.939	23.190	16.647	18.859
2.520	21.672	15.948	18.455	23.123	18.903	19.612
2.540	11.684	22.157	17.287	19.676	18.857	17.967
2.560	14.573	19.845	12.796	19.060	17.109	16.678
2.580	13.375	18.103	19.421	15.650	15.363	16.410
2.600	18.566	21.447	14.389	23.407	13.058	18.176
2.620	17.953	20.847	17.676	23.353	14.168	18.817
2.640	19.080	17.438	21.499	18.861	20.934	19.569
