Data from MAYP1154431__1__13-55-10-414.txt Node

Date: Fri Jan 22 13:55:10 KST 2021
User: M4SQUER
Spectrometer: MAYP115443
Trigger mode: 0
Integration Time (sec): 7.200000E-3
Scans to average: 100
Electric dark correction enabled: true
Nonlinearity correction enabled: false
Boxcar width: 0
XAxis mode: Wavelengths
Number of Pixels in Spectrum: 2068
>>>>>Begin Spectral Data<<<<<
155.709	38221.13
155.785	-141.04
155.86	25.87
155.936	-10.49
156.012	12.45
156.088	10.47
156.163	11.49
156.239	13.74
156.315	18.32
156.391	15.74
156.466	13.5
156.542	13.26
156.618	10.29
156.694	11.8
156.769	11.05
156.845	10.58
156.921	8.28
156.996	8.91
157.072	9.57
157.148	9.05
157.223	10.18
157.299	13.4
157.375	12.37
157.45	13.56
157.526	14.78
157.602	14.16
157.677	13.73
157.753	14.74
157.828	13.48
157.904	9.41
157.98	10.74
158.055	12.34
158.131	10.54
158.206	10.91
158.282	11.11
158.358	11.23
158.433	14.55
158.509	12.3
158.584	12.83
158.66	15.22
158.735	15.91
158.811	14.65
158.886	16.07
158.962	13.27
159.038	15.81
159.113	15
159.189	14.29
159.264	12.63
159.34	11.77
159.415	13.03
159.491	15.28
159.566	13.46
159.642	14.62
159.717	15.48
159.793	15.6
159.868	13.1
159.943	15.19
160.019	13.29
160.094	13.95
160.17	14.58
160.245	14.96
160.321	13.27
160.396	16.57
160.472	13.1
160.547	13.65
160.622	13.58
160.698	14.85
160.773	15.27
160.849	11.4
160.924	13.23
160.999	14.27
161.075	14.49
161.15	13.38
161.226	15.15
161.301	13.26
161.376	14.9
161.452	14.76
161.527	15.44
161.602	13.63
161.678	13.72
161.753	15.64
161.828	12.6
161.904	15.33
161.979	13.36
162.054	14.39
162.13	11.97
162.205	14.2
162.28	16.07
162.355	15.68
162.431	12.96
162.506	14.4
162.581	14.46
162.656	13.18
162.732	13.86
162.807	14.62
162.882	14.79
162.957	14.3
163.033	14.26
163.108	14.84
163.183	13.6
163.258	13.23
163.334	13.46
163.409	12.25
163.484	12.09
163.559	13.82
163.634	14.28
163.71	13.58
163.785	12.93
163.86	14.87
163.935	14.35
164.01	11.96
164.085	11.92
164.161	14.18
164.236	15.03
164.311	13.13
164.386	14.3
164.461	16.26
164.536	12.64
164.611	13.14
164.686	13.1
164.762	13.4
164.837	14.02
