eV	CPS	eV	CPS
19.13	21543	3.67	430.86
19.14	20960	3.66	419.2
19.15	20596	3.65	411.92
19.16	21212	3.64	424.24
19.17	21279	3.63	425.58
19.18	20382	3.62	407.64
19.19	21220	3.61	424.4
19.2	20243	3.6	404.86
19.21	21056	3.59	421.12
19.22	20513	3.58	410.26
19.23	20611	3.57	412.22
19.24	19676	3.56	393.52
19.25	20159	3.55	403.18
19.26	20038	3.54	400.76
19.27	19138	3.53	382.76
19.28	18878	3.52	377.56
19.29	18561	3.51	371.22
19.3	18857	3.5	377.14
19.31	18227	3.49	364.54
19.32	17870	3.48	357.4
19.33	17819	3.47	356.38
19.34	17764	3.46	355.28
19.35	16914	3.45	338.28
19.36	17946	3.44	358.92
19.37	17220	3.43	344.4
19.38	17128	3.42	342.56
19.39	16261	3.41	325.22
19.4	16187	3.4	323.74
19.41	16167	3.39	323.34
19.42	17001	3.38	340.02
19.43	15983	3.37	319.66
19.44	16479	3.36	329.58
19.45	15699	3.35	313.98
19.46	15015	3.34	300.3
19.47	14173	3.33	283.46
19.48	14770	3.32	295.4
19.49	14684	3.31	293.68
19.5	14152	3.3	283.04
19.51	14516	3.29	290.32
19.52	14820	3.28	296.4
19.53	13782	3.27	275.64
19.54	13339	3.26	266.78
19.55	13408	3.25	268.16
19.56	13825	3.24	276.5
19.57	13487	3.23	269.74
19.58	13045	3.22	260.9
19.59	12598	3.21	251.96
19.6	13155	3.2	263.1
19.61	12308	3.19	246.16
19.62	12623	3.18	252.46
19.63	11423	3.17	228.46
19.64	12169	3.16	243.38
19.65	12797	3.15	255.94
19.66	12240	3.14	244.8
19.67	11580	3.13	231.6
19.68	11771	3.12	235.42
19.69	11879	3.11	237.58
19.7	12491	3.1	249.82
19.71	11482	3.09	229.64
19.72	11802	3.08	236.04
19.73	11821	3.07	236.42
19.74	11042	3.06	220.84
19.75	11569	3.05	231.38
19.76	12647	3.04	252.94
19.77	11631	3.03	232.62
19.78	11616	3.02	232.32
19.79	11745	3.01	234.9
19.8	11171	3	223.42
19.81	11003	2.99	220.06
19.82	11822	2.98	236.44
19.83	11416	2.97	228.32
19.84	11610	2.96	232.2
19.85	11649	2.95	232.98
19.86	11126	2.94	222.52
19.87	11390	2.93	227.8
19.88	11856	2.92	237.12
19.89	10557	2.91	211.14
19.9	11618	2.9	232.36
19.91	12161	2.89	243.22
19.92	11838	2.88	236.76
19.93	11412	2.87	228.24
19.94	10735	2.86	214.7
19.95	10627	2.85	212.54
19.96	10529	2.84	210.58
19.97	11527	2.83	230.54
19.98	11029	2.82	220.58
19.99	10888	2.81	217.76
20	11107	2.8	222.14
20.01	11402	2.79	228.04
20.02	11095	2.78	221.9
20.03	10818	2.77	216.36
20.04	11124	2.76	222.48
20.05	11841	2.75	236.82
20.06	11421	2.74	228.42
20.07	11017	2.73	220.34
20.08	10629	2.72	212.58
20.09	11142	2.71	222.84
20.1	10992	2.7	219.84
20.11	10582	2.69	211.64
20.12	10765	2.68	215.3
20.13	10560	2.67	211.2
20.14	11756	2.66	235.12
20.15	11038	2.65	220.76
20.16	10801	2.64	216.02
20.17	10353	2.63	207.06
20.18	10385	2.62	207.7
20.19	10851	2.61	217.02
20.2	10110	2.6	202.2
20.21	10192	2.59	203.84
20.22	10415	2.58	208.3
20.23	10400	2.57	208
20.24	10408	2.56	208.16
20.25	9362	2.55	187.24
20.26	9878	2.54	197.56
20.27	10223	2.53	204.46
20.28	10440	2.52	208.8
20.29	10406	2.51	208.12
20.3	9782	2.5	195.64
20.31	10764	2.49	215.28
20.32	10714	2.48	214.28
20.33	9986	2.47	199.72
20.34	9791	2.46	195.82
20.35	9532	2.45	190.64
20.36	9079	2.44	181.58
20.37	10071	2.43	201.42
20.38	9971	2.42	199.42
20.39	8889	2.41	177.78
20.4	10352	2.4	207.04
20.41	9280	2.39	185.6
20.42	9943	2.38	198.86
20.43	9941	2.37	198.82
20.44	9605	2.36	192.1
20.45	9329	2.35	186.58
20.46	10145	2.34	202.9
20.47	9731	2.33	194.62
20.48	9901	2.32	198.02
20.49	9426	2.31	188.52
20.5	9342	2.3	186.84
20.51	9631	2.29	192.62
20.52	9615	2.28	192.3
20.53	9900	2.27	198
20.54	9776	2.26	195.52
20.55	9611	2.25	192.22
20.56	10138	2.24	202.76
20.57	10342	2.23	206.84
20.58	9445	2.22	188.9
20.59	9568	2.21	191.36
20.6	9846	2.2	196.92
20.61	9509	2.19	190.18
